No,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
229,Saterland Frisian,Seeltersk,stq,"4,129","10,818","123,714",4,"14,722",18,381,30
230,Extremaduran,estremeñu,ext,"4,050","9,126","139,190",2,"19,440",25,0,23
231,Ghanaian Pidgin,Ghanaian Pidgin,gpe,"4,014","21,540","81,017",2,"4,164",28,0,71
232,Avaric,авар,av,"4,002","18,757","96,623",2,"16,922",37,0,70
233,Tuvinian,тыва дыл,tyv,"3,997","14,393","51,091",1,"10,578",27,0,24
234,Ladino,Ladino,lad,"3,873","13,609","215,298",4,"23,807",24,21,99
235,Romansh,rumantsch,rm,"3,809","9,779","167,826",2,"22,583",31,48,42
236,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,"3,643","8,903","213,947",4,"11,376",18,0,50
237,Doteli,डोटेली,dty,"3,626","22,156","245,885",2,"7,834",24,3,289
238,Komi-Permyak,перем коми,koi,"3,469","13,381","63,414",1,"9,602",12,0,38
239,Lower Sorbian,dolnoserbski,dsb,"3,425","11,627","146,580",1,"20,419",30,0,72
240,Fon,fɔ̀ngbè,fon,"3,243","4,962","28,424",2,"1,910",26,0,1
241,Chavacano,Chavacano de Zamboanga,cbk-zam,"3,237","8,991","116,856",2,"16,015",24,0,41
242,Tswana,Setswana,tn,"3,235","7,381","44,648",1,"12,019",33,4,9
243,Divehi,ދިވެހިބަސް,dv,"3,190","12,538","136,856",2,"27,418",31,931,93
244,Betawi,Betawi,bew,"3,055","7,390","32,180",3,"2,549",36,0,8
245,Colognian,Ripoarisch,ksh,"3,037","10,798","1,609,467",3,"24,612",17,0,973
246,Gagauz,Gagauz,gag,"3,013","7,801","74,793",1,"16,069",27,0,24
247,Zhuang,Vahcuengh,za,"3,006","5,567","42,731",1,"12,124",12,0,5
248,Hawaiian,Hawaiʻi,haw,"2,961","6,198","100,190",1,"20,055",39,0,19
249,Russia Buriat,буряад,bxr,"2,910","11,320","74,036",1,"17,116",22,8,54
250,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,blk,"2,907","8,648","32,535",1,"2,627",22,0,14
251,Tulu,ತುಳು,tcy,"2,850","17,104","198,548",4,"8,397",39,13,290
252,Palatine German,Pälzisch,pfl,"2,826","7,063","92,661",4,"13,446",14,0,29
253,Southern Dagaare,Dagaare,dga,"2,806","6,277","56,074",1,"1,356",21,0,13
254,Sakizaya,Sakizaya,szy,"2,735","6,280","139,502",1,"3,928",15,0,37
255,Komering,Kumoring,kge,"2,660","4,370","31,125",0,"1,104",13,0,2
256,Karachay-Balkar,къарачай-малкъар,krc,"2,629","16,696","120,015",2,"11,624",25,0,205
257,Pangasinan,Pangasinan,pag,"2,618","6,725","79,091",1,"9,448",20,0,28
258,Atayal,Tayal,tay,"2,582","3,280","62,069",1,"2,526",21,0,1
259,Awadhi,अवधी,awa,"2,520","5,871","28,078",2,"4,603",23,0,8
260,Ingush,гӀалгӀай,inh,"2,408","15,971","70,628",2,"5,735",21,37,140
261,Xhosa,isiXhosa,xh,"2,319","5,568","39,793",1,"15,245",37,0,14
262,Atikamekw,Atikamekw,atj,"2,076","3,283","16,705",9,"5,729",16,0,1
263,Tongan,lea faka-Tonga,to,"2,043","5,533","43,834",2,"12,317",18,12,23
264,Pennsylvania German,Deitsch,pdc,"2,039","6,042","107,198",1,"37,610",32,0,68
265,Frafra,farefare,gur,"2,010","3,205","20,596",1,"1,952",29,0,2
266,Madurese,Madhurâ,mad,"1,974","11,247","41,746",4,"4,090",81,0,81
267,Oromo,Oromoo,om,"1,960","5,337","45,222",1,"12,962",37,0,25
268,Mon,ဘာသာမန်,mnw,"1,957","6,790","47,196",3,"4,876",19,0,42
269,Aramaic,ܐܪܡܝܐ,arc,"1,915","6,564","97,105",2,"23,021",28,0,87
270,Kikuyu,Gĩkũyũ,ki,"1,899","3,784","22,616",1,"10,023",14,0,5
271,Novial,Novial,nov,"1,877","4,812","180,225",2,"13,232",15,0,91
272,Iban,Jaku Iban,iba,"1,842","4,915","15,477",0,"1,547",62,0,8
273,Nias,Li Niha,nia,"1,764","4,459","25,877",2,"2,606",17,0,13
